StateAndCounty,StateCode,CountyCode
"Cheshire County, New Hampshire",33,005
"Grafton County, New Hampshire",33,009
"Hillsborough County, New Hampshire",33,011
"Merrimack County, New Hampshire",33,013
"Rockingham County, New Hampshire",33,015
"Strafford County, New Hampshire",33,017
"Atlantic County, New Jersey",34,001
"Bergen County, New Jersey",34,003
"Burlington County, New Jersey",34,005
"Camden County, New Jersey",34,007
"Cape May County, New Jersey",34,009
"Cumberland County, New Jersey",34,011
"Essex County, New Jersey",34,013
"Gloucester County, New Jersey",34,015
"Hudson County, New Jersey",34,017
"Hunterdon County, New Jersey",34,019
"Mercer County, New Jersey",34,021
"Middlesex County, New Jersey",34,023
"Monmouth County, New Jersey",34,025
"Morris County, New Jersey",34,027
"Ocean County, New Jersey",34,029
"Passaic County, New Jersey",34,031
"Salem County, New Jersey",34,033
"Somerset County, New Jersey",34,035
"Sussex County, New Jersey",34,037
"Union County, New Jersey",34,039
"Warren County, New Jersey",34,041
"Bernalillo County, New Mexico",35,001
"Chaves County, New Mexico",35,005
"Do?a Ana County, New Mexico",35,013
"Lea County, New Mexico",35,025
"McKinley County, New Mexico",35,031
"Otero County, New Mexico",35,035
"Sandoval County, New Mexico",35,043
"San Juan County, New Mexico",35,045
"Santa Fe County, New Mexico",35,049
"Valencia County, New Mexico",35,061
"Albany County, New York",36,001
"Bronx County, New York",36,005
"Broome County, New York",36,007
"Cattaraugus County, New York",36,009
"Cayuga County, New York",36,011
"Chautauqua County, New York",36,013
"Chemung County, New York",36,015
"Clinton County, New York",36,019
"Dutchess County, New York",36,027
"Erie County, New York",36,029
"Jefferson County, New York",36,045
"Kings County, New York",36,047
"Livingston County, New York",36,051
"Madison County, New York",36,053
"Monroe County, New York",36,055
"Nassau County, New York",36,059
"New York County, New York",36,061
"Niagara County, New York",36,063
"Oneida County, New York",36,065
"Onondaga County, New York",36,067
"Ontario County, New York",36,069
"Orange County, New York",36,071
"Oswego County, New York",36,075
"Putnam County, New York",36,079
"Queens County, New York",36,081
"Rensselaer County, New York",36,083
"Richmond County, New York",36,085
"Rockland County, New York",36,087
"St. Lawrence County, New York",36,089
"Saratoga County, New York",36,091
"Schenectady County, New York",36,093
"Steuben County, New York",36,101
"Suffolk County, New York",36,103
"Sullivan County, New York",36,105
"Tompkins County, New York",36,109
"Ulster County, New York",36,111
"Warren County, New York",36,113
"Wayne County, New York",36,117
"Westchester County, New York",36,119
"Alamance County, North Carolina",37,001
"Brunswick County, North Carolina",37,019
"Buncombe County, North Carolina",37,021
"Burke County, North Carolina",37,023
"Cabarrus County, North Carolina",37,025
"Caldwell County, North Carolina",37,027
"Carteret County, North Carolina",37,031
"Catawba County, North Carolina",37,035
"Cleveland County, North Carolina",37,045
"Craven County, North Carolina",37,049
"Cumberland County, North Carolina",37,051
"Davidson County, North Carolina",37,057
"Durham County, North Carolina",37,063
"Forsyth County, North Carolina",37,067
"Gaston County, North Carolina",37,071
"Guilford County, North Carolina",37,081
"Harnett County, North Carolina",37,085
"Henderson County, North Carolina",37,089
"Iredell County, North Carolina",37,097
"Johnston County, North Carolina",37,101
"Lincoln County, North Carolina",37,109
"Mecklenburg County, North Carolina",37,119
"Moore County, North Carolina",37,125
"Nash County, North Carolina",37,127
"New Hanover County, North Carolina",37,129
"Onslow County, North Carolina",37,133
"Orange County, North Carolina",37,135
"Pitt County, North Carolina",37,147
"Randolph County, North Carolina",37,151
"Robeson County, North Carolina",37,155
"Rockingham County, North Carolina",37,157
"Rowan County, North Carolina",37,159
"Rutherford County, North Carolina",37,161
"Surry County, North Carolina",37,171
"Union County, North Carolina",37,179
"Wake County, North Carolina",37,183
"Wayne County, North Carolina",37,191
"Wilkes County, North Carolina",37,193
"Wilson County, North Carolina",37,195
"Burleigh County, North Dakota",38,015
"Cass County, North Dakota",38,017
"Grand Forks County, North Dakota",38,035
"Allen County, Ohio",39,003
"Ashtabula County, Ohio",39,007
"Belmont County, Ohio",39,013
"Butler County, Ohio",39,017
"Clark County, Ohio",39,023
"Clermont County, Ohio",39,025
"Columbiana County, Ohio",39,029
"Cuyahoga County, Ohio",39,035
"Delaware County, Ohio",39,041
"Erie County, Ohio",39,043
"Fairfield County, Ohio",39,045
"Franklin County, Ohio",39,049
"Geauga County, Ohio",39,055
"Greene County, Ohio",39,057
"Hamilton County, Ohio",39,061
"Hancock County, Ohio",39,063
"Jefferson County, Ohio",39,081
"Lake County, Ohio",39,085
"Licking County, Ohio",39,089
"Lorain County, Ohio",39,093
"Lucas County, Ohio",39,095
"Mahoning County, Ohio",39,099
"Marion County, Ohio",39,101
"Medina County, Ohio",39,103
"Miami County, Ohio",39,109
"Montgomery County, Ohio",39,113
"Muskingum County, Ohio",39,119
"Portage County, Ohio",39,133
"Richland County, Ohio",39,139
"Ross County, Ohio",39,141
"Scioto County, Ohio",39,145
"Stark County, Ohio",39,151
"Summit County, Ohio",39,153
"Trumbull County, Ohio",39,155
"Tuscarawas County, Ohio",39,157
"Warren County, Ohio",39,165
"Wayne County, Ohio",39,169
"Wood County, Ohio",39,173
"Canadian County, Oklahoma",40,017
"Cleveland County, Oklahoma",40,027
"Comanche County, Oklahoma",40,031
"Creek County, Oklahoma",40,037
"Muskogee County, Oklahoma",40,101
"Oklahoma County, Oklahoma",40,109
"Payne County, Oklahoma",40,119
"Pottawatomie County, Oklahoma",40,125
"Rogers County, Oklahoma",40,131
"Tulsa County, Oklahoma",40,143
"Wagoner County, Oklahoma",40,145
"Benton County, Oregon",41,003
"Clackamas County, Oregon",41,005
"Deschutes County, Oregon",41,017
"Douglas County, Oregon",41,019
"Jackson County, Oregon",41,029
"Josephine County, Oregon",41,033
"Klamath County, Oregon",41,035
"Lane County, Oregon",41,039
"Linn County, Oregon",41,043
"Marion County, Oregon",41,047
"Multnomah County, Oregon",41,051
"Polk County, Oregon",41,053
"Umatilla County, Oregon",41,059
"Washington County, Oregon",41,067
"Yamhill County, Oregon",41,071
"Adams County, Pennsylvania",42,001
"Allegheny County, Pennsylvania",42,003
"Armstrong County, Pennsylvania",42,005
"Beaver County, Pennsylvania",42,007
"Berks County, Pennsylvania",42,011
"Blair County, Pennsylvania",42,013
"Bucks County, Pennsylvania",42,017
"Butler County, Pennsylvania",42,019
"Cambria County, Pennsylvania",42,021
"Carbon County, Pennsylvania",42,025
"Centre County, Pennsylvania",42,027
"Chester County, Pennsylvania",42,029
"Clearfield County, Pennsylvania",42,033
"Columbia County, Pennsylvania",42,037
"Crawford County, Pennsylvania",42,039
"Cumberland County, Pennsylvania",42,041
"Dauphin County, Pennsylvania",42,043
"Delaware County, Pennsylvania",42,045
"Erie County, Pennsylvania",42,049
"Fayette County, Pennsylvania",42,051
"Franklin County, Pennsylvania",42,055
"Indiana County, Pennsylvania",42,063
"Lackawanna County, Pennsylvania",42,069
"Lancaster County, Pennsylvania",42,071
"Lawrence County, Pennsylvania",42,073
"Lebanon County, Pennsylvania",42,075
"Lehigh County, Pennsylvania",42,077
"Luzerne County, Pennsylvania",42,079
"Lycoming County, Pennsylvania",42,081
"Mercer County, Pennsylvania",42,085
"Monroe County, Pennsylvania",42,089
"Montgomery County, Pennsylvania",42,091
"Northampton County, Pennsylvania",42,095
"Northumberland County, Pennsylvania",42,097
"Philadelphia County, Pennsylvania",42,101
"Schuylkill County, Pennsylvania",42,107
"Somerset County, Pennsylvania",42,111
"Washington County, Pennsylvania",42,125
"Westmoreland County, Pennsylvania",42,129
"York County, Pennsylvania",42,133
"Kent County, Rhode Island",44,003
"Newport County, Rhode Island",44,005
"Providence County, Rhode Island",44,007
"Washington County, Rhode Island",44,009
"Aiken County, South Carolina",45,003
"Anderson County, South Carolina",45,007
"Beaufort County, South Carolina",45,013
"Berkeley County, South Carolina",45,015
"Charleston County, South Carolina",45,019
"Darlington County, South Carolina",45,031
"Dorchester County, South Carolina",45,035
"Florence County, South Carolina",45,041
"Greenville County, South Carolina",45,045
"Greenwood County, South Carolina",45,047
"Horry County, South Carolina",45,051
"Lancaster County, South Carolina",45,057
"Laurens County, South Carolina",45,059
"Lexington County, South Carolina",45,063
"Oconee County, South Carolina",45,073
"Orangeburg County, South Carolina",45,075
"Pickens County, South Carolina",45,077
"Richland County, South Carolina",45,079
"Spartanburg County, South Carolina",45,083
"Sumter County, South Carolina",45,085
"York County, South Carolina",45,091
"Minnehaha County, South Dakota",46,099
"Pennington County, South Dakota",46,103
"Anderson County, Tennessee",47,001
"Blount County, Tennessee",47,009
"Bradley County, Tennessee",47,011
"Davidson County, Tennessee",47,037
"Greene County, Tennessee",47,059
"Hamilton County, Tennessee",47,065
"Knox County, Tennessee",47,093
"Madison County, Tennessee",47,113
"Maury County, Tennessee",47,119
"Montgomery County, Tennessee",47,125
"Putnam County, Tennessee",47,141
"Robertson County, Tennessee",47,147
"Rutherford County, Tennessee",47,149
"Sevier County, Tennessee",47,155
"Shelby County, Tennessee",47,157
"Baldwin County, Alabama",01,003
"Calhoun County, Alabama",01,015
"Cullman County, Alabama",01,043
"DeKalb County, Alabama",01,049
"Elmore County, Alabama",01,051
"Etowah County, Alabama",01,055
"Houston County, Alabama",01,069
"Jefferson County, Alabama",01,073
"Lauderdale County, Alabama",01,077
"Lee County, Alabama",01,081
"Limestone County, Alabama",01,083
"Madison County, Alabama",01,089
"Marshall County, Alabama",01,095
"Mobile County, Alabama",01,097
"Montgomery County, Alabama",01,101
"Morgan County, Alabama",01,103
"St. Clair County, Alabama",01,115
"Shelby County, Alabama",01,117
"Talladega County, Alabama",01,121
"Tuscaloosa County, Alabama",01,125
"Walker County, Alabama",01,127
"Anchorage Municipality, Alaska",02,020
"Fairbanks North Star Borough, Alaska",02,090
"Matanuska-Susitna Borough, Alaska",02,170
"Apache County, Arizona",04,001
"Cochise County, Arizona",04,003
"Coconino County, Arizona",04,005
"Maricopa County, Arizona",04,013
"Mohave County, Arizona",04,015
"Navajo County, Arizona",04,017
"Pima County, Arizona",04,019
"Pinal County, Arizona",04,021
"Yavapai County, Arizona",04,025
"Yuma County, Arizona",04,027
"Benton County, Arkansas",05,007
"Craighead County, Arkansas",05,031
"Faulkner County, Arkansas",05,045
"Garland County, Arkansas",05,051
"Jefferson County, Arkansas",05,069
"Lonoke County, Arkansas",05,085
"Pulaski County, Arkansas",05,119
"Saline County, Arkansas",05,125
"Sebastian County, Arkansas",05,131
"Washington County, Arkansas",05,143
"White County, Arkansas",05,145
"Alameda County, California",06,001
"Butte County, California",06,007
"Contra Costa County, California",06,013
"El Dorado County, California",06,017
"Fresno County, California",06,019
"Humboldt County, California",06,023
"Imperial County, California",06,025
"Kern County, California",06,029
"Kings County, California",06,031
"Lake County, California",06,033
"Los Angeles County, California",06,037
"Madera County, California",06,039
"Marin County, California",06,041
"Mendocino County, California",06,045
"Merced County, California",06,047
"Monterey County, California",06,053
"Napa County, California",06,055
"Nevada County, California",06,057
"Orange County, California",06,059
"Placer County, California",06,061
"Riverside County, California",06,065
"Sacramento County, California",06,067
"San Bernardino County, California",06,071
"San Diego County, California",06,073
"San Francisco County, California",06,075
"San Joaquin County, California",06,077
"San Luis Obispo County, California",06,079
"San Mateo County, California",06,081
"Santa Barbara County, California",06,083
"Santa Clara County, California",06,085
"Santa Cruz County, California",06,087
"Shasta County, California",06,089
"Solano County, California",06,095
"Sonoma County, California",06,097
"Stanislaus County, California",06,099
"Sutter County, California",06,101
"Tulare County, California",06,107
"Ventura County, California",06,111
"Yolo County, California",06,113
"Yuba County, California",06,115
"Adams County, Colorado",08,001
"Arapahoe County, Colorado",08,005
"Boulder County, Colorado",08,013
"Denver County, Colorado",08,031
"Douglas County, Colorado",08,035
"El Paso County, Colorado",08,041
"Jefferson County, Colorado",08,059
"Larimer County, Colorado",08,069
"Mesa County, Colorado",08,077
"Pueblo County, Colorado",08,101
"Weld County, Colorado",08,123
"Fairfield County, Connecticut",09,001
"Hartford County, Connecticut",09,003
"Litchfield County, Connecticut",09,005
"Middlesex County, Connecticut",09,007
"New Haven County, Connecticut",09,009
"New London County, Connecticut",09,011
"Tolland County, Connecticut",09,013
"Windham County, Connecticut",09,015
"Kent County, Delaware",10,001
"New Castle County, Delaware",10,003
"Sussex County, Delaware",10,005
"District of Columbia, District of Columbia",11,001
"Alachua County, Florida",12,001
"Bay County, Florida",12,005
"Brevard County, Florida",12,009
"Broward County, Florida",12,011
"Charlotte County, Florida",12,015
"Citrus County, Florida",12,017
"Clay County, Florida",12,019
"Collier County, Florida",12,021
"Columbia County, Florida",12,023
"Duval County, Florida",12,031
"Escambia County, Florida",12,033
"Flagler County, Florida",12,035
"Hernando County, Florida",12,053
"Highlands County, Florida",12,055
"Hillsborough County, Florida",12,057
"Indian River County, Florida",12,061
"Lake County, Florida",12,069
"Lee County, Florida",12,071
"Leon County, Florida",12,073
"Manatee County, Florida",12,081
"Marion County, Florida",12,083
"Martin County, Florida",12,085
"Miami-Dade County, Florida",12,086
"Monroe County, Florida",12,087
"Nassau County, Florida",12,089
"Okaloosa County, Florida",12,091
"Orange County, Florida",12,095
"Osceola County, Florida",12,097
"Palm Beach County, Florida",12,099
"Pasco County, Florida",12,101
"Pinellas County, Florida",12,103
"Polk County, Florida",12,105
"Putnam County, Florida",12,107
"St. Johns County, Florida",12,109
"St. Lucie County, Florida",12,111
"Santa Rosa County, Florida",12,113
"Sarasota County, Florida",12,115
"Seminole County, Florida",12,117
"Sullivan County, Tennessee",47,163
"Sumner County, Tennessee",47,165
"Washington County, Tennessee",47,179
"Williamson County, Tennessee",47,187
"Wilson County, Tennessee",47,189
"Angelina County, Texas",48,005
"Bastrop County, Texas",48,021
"Bell County, Texas",48,027
"Bexar County, Texas",48,029
"Bowie County, Texas",48,037
"Brazoria County, Texas",48,039
"Brazos County, Texas",48,041
"Cameron County, Texas",48,061
"Collin County, Texas",48,085
"Comal County, Texas",48,091
"Coryell County, Texas",48,099
"Dallas County, Texas",48,113
"Denton County, Texas",48,121
"Ector County, Texas",48,135
"Ellis County, Texas",48,139
"El Paso County, Texas",48,141
"Fort Bend County, Texas",48,157
"Galveston County, Texas",48,167
"Grayson County, Texas",48,181
"Gregg County, Texas",48,183
"Guadalupe County, Texas",48,187
"Harris County, Texas",48,201
"Harrison County, Texas",48,203
"Hays County, Texas",48,209
"Henderson County, Texas",48,213
"Hidalgo County, Texas",48,215
"Hunt County, Texas",48,231
"Jefferson County, Texas",48,245
"Johnson County, Texas",48,251
"Kaufman County, Texas",48,257
"Liberty County, Texas",48,291
"Lubbock County, Texas",48,303
"McLennan County, Texas",48,309
"Midland County, Texas",48,329
"Montgomery County, Texas",48,339
"Nacogdoches County, Texas",48,347
"Nueces County, Texas",48,355
"Orange County, Texas",48,361
"Parker County, Texas",48,367
"Potter County, Texas",48,375
"Randall County, Texas",48,381
"Rockwall County, Texas",48,397
"San Patricio County, Texas",48,409
"Smith County, Texas",48,423
"Tarrant County, Texas",48,439
"Taylor County, Texas",48,441
"Tom Green County, Texas",48,451
"Travis County, Texas",48,453
"Victoria County, Texas",48,469
"Walker County, Texas",48,471
"Webb County, Texas",48,479
"Wichita County, Texas",48,485
"Williamson County, Texas",48,491
"Cache County, Utah",49,005
"Davis County, Utah",49,011
"Salt Lake County, Utah",49,035
"Utah County, Utah",49,049
"Washington County, Utah",49,053
"Weber County, Utah",49,057
"Chittenden County, Vermont",50,007
"Albemarle County, Virginia",51,003
"Arlington County, Virginia",51,013
"Augusta County, Virginia",51,015
"Bedford County, Virginia",51,019
"Chesterfield County, Virginia",51,041
"Fairfax County, Virginia",51,059
"Fauquier County, Virginia",51,061
"Frederick County, Virginia",51,069
"Hanover County, Virginia",51,085
"Henrico County, Virginia",51,087
"James City County, Virginia",51,095
"Loudoun County, Virginia",51,107
"Montgomery County, Virginia",51,121
"Prince William County, Virginia",51,153
"Roanoke County, Virginia",51,161
"Rockingham County, Virginia",51,165
"Spotsylvania County, Virginia",51,177
"Stafford County, Virginia",51,179
"York County, Virginia",51,199
"Alexandria city, Virginia",51,510
"Chesapeake city, Virginia",51,550
"Hampton city, Virginia",51,650
"Lynchburg city, Virginia",51,680
"Newport News city, Virginia",51,700
"Norfolk city, Virginia",51,710
"Portsmouth city, Virginia",51,740
"Richmond city, Virginia",51,760
"Roanoke city, Virginia",51,770
"Suffolk city, Virginia",51,800
"Virginia Beach city, Virginia",51,810
"Benton County, Washington",53,005
"Chelan County, Washington",53,007
"Clallam County, Washington",53,009
"Clark County, Washington",53,011
"Cowlitz County, Washington",53,015
"Franklin County, Washington",53,021
"Grant County, Washington",53,025
"Grays Harbor County, Washington",53,027
"Island County, Washington",53,029
"King County, Washington",53,033
"Kitsap County, Washington",53,035
"Lewis County, Washington",53,041
"Pierce County, Washington",53,053
"Skagit County, Washington",53,057
"Snohomish County, Washington",53,061
"Spokane County, Washington",53,063
"Thurston County, Washington",53,067
"Whatcom County, Washington",53,073
"Yakima County, Washington",53,077
"Berkeley County, West Virginia",54,003
"Cabell County, West Virginia",54,011
"Harrison County, West Virginia",54,033
"Kanawha County, West Virginia",54,039
"Monongalia County, West Virginia",54,061
"Raleigh County, West Virginia",54,081
"Wood County, West Virginia",54,107
"Brown County, Wisconsin",55,009
"Dane County, Wisconsin",55,025
"Dodge County, Wisconsin",55,027
"Eau Claire County, Wisconsin",55,035
"Fond du Lac County, Wisconsin",55,039
"Jefferson County, Wisconsin",55,055
"Kenosha County, Wisconsin",55,059
"La Crosse County, Wisconsin",55,063
"Manitowoc County, Wisconsin",55,071
"Marathon County, Wisconsin",55,073
"Milwaukee County, Wisconsin",55,079
"Outagamie County, Wisconsin",55,087
"Ozaukee County, Wisconsin",55,089
"Portage County, Wisconsin",55,097
"Racine County, Wisconsin",55,101
"Rock County, Wisconsin",55,105
"St. Croix County, Wisconsin",55,109
"Sheboygan County, Wisconsin",55,117
"Walworth County, Wisconsin",55,127
"Washington County, Wisconsin",55,131
"Waukesha County, Wisconsin",55,133
"Winnebago County, Wisconsin",55,139
"Wood County, Wisconsin",55,141
"Laramie County, Wyoming",56,021
"Natrona County, Wyoming",56,025
